Postcode District,All usual residents,Males,Females
S64,30696,15098,15598
S65,35575,17480,18095
S66,46183,22603,23580
S7,17436,8922,8514
S70,38839,19279,19560
S71,44892,22070,22822
S72,25354,12433,12921
S73,27014,13241,13773
S74,17710,8620,9090
S75,43598,21316,22282
S8,46174,22570,23604
S80,30032,14762,15270
S81,37344,18231,19113
S9,28089,14003,14086
SE1,67037,34645,32392
SE10,23987,11944,12043
SE11,21974,11289,10685
SE12,27143,13123,14020
SE13,42278,21311,20967
SE14,24679,12421,12258
SE15,64359,31446,32913
SE16,44957,22288,22669
SE17,33591,16661,16930
SE18,77384,39267,38117
SE19,27650,13388,14262
SE2,27104,13038,14066
SE20,22881,11093,11788
SE21,15259,7395,7864
SE22,29738,14139,15599
SE23,33489,16584,16905
SE24,18914,9218,9696
SE25,34686,16618,18068
SE26,28378,13714,14664
SE27,21836,10481,11355
SE28,29488,14827,14661
SE3,31790,15520,16270
SE4,28723,13838,14885
SE5,46256,22731,23525
SE6,53271,25720,27551
SE7,21139,10276,10863
SE8,27859,13782,14077
SE9,62852,30305,32547
SG1,51250,25558,25692
SG10,2087,987,1100
SG11,7969,3981,3988
SG12,30067,14806,15261
SG13,16643,8273,8370
SG14,18798,9128,9670
SG15,5584,2765,2819
SG16,6110,3070,3040
SG17,12203,6034,6169
SG18,24128,11939,12189
SG19,24097,11976,12121
SG2,42112,20703,21409
SG3,7068,3458,3610
SG4,29212,14283,14929
SG5,31407,15463,15944
SG6,33249,16071,17178
SG7,13276,6565,6711
SG8,38277,18937,19340
SG9,9374,4661,4713
SK1,11550,5863,5687
SK10,39804,19467,20337
SK11,36547,17885,18662
SK12,19072,9270,9802
SK13,33090,16207,16883
SK14,46233,22616,23617
SK15,27424,13574,13850
SK16,19645,9687,9958
SK17,32207,15956,16251
SK2,28909,14270,14639
SK22,12230,6060,6170
SK23,17125,8459,8666
SK3,28387,13805,14582
SK4,34804,17142,17662
SK5,29154,14252,14902
SK6,50813,24694,26119
SK7,40454,19599,20855
SK8,58346,28373,29973
SK9,38001,18431,19570
SL0,11119,5522,5597
SL1,70804,35596,35208
SL2,53290,26219,27071
SL3,45163,22355,22808
SL4,43347,21828,21519
SL5,23870,11319,12551
SL6,77837,38208,39629
SL7,20946,10208,10738
SL8,6448,3121,3327
SL9,20783,9942,10841
SM1,38062,18564,19498
SM2,27688,13680,14008
SM3,21018,10274,10744
SM4,36841,18277,18564
SM5,38682,18645,20037
SM6,36494,17557,18937
SM7,18263,8686,9577
SN1,29665,15815,13850
SN10,31544,15459,16085
SN11,22358,10816,11542
SN12,25211,12362,12849
SN13,16529,7961,8568
SN14,28083,14015,14068
SN15,35109,17587,17522
SN16,13831,6853,6978
SN2,41148,20507,20641
SN25,35205,17551,17654
SN26,1827,900,927
SN3,51117,25045,26072
SN4,27628,13545,14083
SN5,33001,16403,16598
SN6,21161,10425,10736
SN7,13484,6632,6852
SN8,24018,11749,12269
SN9,8130,3936,4194
SO14,27451,15047,12404
SO15,42112,21540,20572
SO16,65918,32462,33456
SO17,19322,10115,9207
SO18,36990,18244,18746
SO19,56342,27560,28782
SO20,8081,4047,4034
SO21,19557,9631,9926
SO22,28611,13684,14927
SO23,22364,10897,11467
SO24,11324,5479,5845
SO30,32278,15657,16621
SO31,44733,22006,22727
SO32,19752,9552,10200
SO40,41855,20598,21257
SO41,31388,14760,16628
SO42,5273,2566,2707
SO43,4391,2128,2263
SO45,34987,16970,18017
SO50,46390,23116,23274
SO51,26578,12780,13798
SO52,7037,3416,3621
SO53,32459,15774,16685
SP1,21491,10130,11361
SP10,40652,19851,20801
SP11,23446,11745,11701
SP2,29309,14160,15149
SP3,11303,5480,5823
SP4,31111,15960,15151
SP5,22361,10826,11535
SP6,14047,6863,7184
SP7,13556,6583,6973
SP8,14570,7131,7439
SP9,10678,6395,4283
SR1,5414,2918,2496
SR2,32933,16525,16408
SR3,39412,18838,20574
SR4,41580,20019,21561
SR5,34792,16632,18160
SR6,30086,14534,15552
SR7,31165,15237,15928
SR8,35444,17253,18191
SS0,41454,20701,20753
SS1,25953,12790,13163
SS11,16738,8180,8558
SS12,18029,8797,9232
SS13,22124,10822,11302
SS14,24915,11783,13132
SS15,30263,14554,15709
SS16,29490,14468,15022
SS17,32823,16003,16820
SS2,36455,17820,18635
SS3,28604,13854,14750
SS4,20993,10216,10777
SS5,21540,10584,10956
SS6,31792,15535,16257
SS7,49256,23964,25292
SS8,38170,18664,19506
SS9,50078,24259,25819
ST1,29860,15458,14402
ST10,25598,12756,12842
ST11,9995,4939,5056
ST12,3809,1841,1968
ST13,27981,13670,14311
ST14,20545,10604,9941
ST15,21412,10442,10970
ST16,30955,16257,14698
ST17,39718,19491,20227
ST18,16223,8347,7876
ST19,14751,7177,7574
ST2,34192,16563,17629
ST20,6711,3323,3388
ST21,5674,2690,2984
ST3,67670,33361,34309
ST4,57197,29056,28141
ST5,82400,40707,41693
ST6,64454,31697,32757
ST7,52883,26101,26782
ST8,20375,9932,10443
ST9,11665,5725,5940
SW10,18478,8978,9500
SW11,71717,34862,36855
SW12,31586,15262,16324
SW13,16190,7796,8394
SW14,16830,8115,8715
SW15,60456,28410,32046
SW16,80927,39668,41259
SW17,64215,31164,33051
SW18,58992,29394,29598
SW19,77676,38223,39453
SW1A,246,150,96
SW1E,919,569,350
SW1H,734,408,326
SW1P,13508,7052,6456
SW1V,22574,11181,11393
SW1W,8557,4276,4281
SW1X,6026,3122,2904
SW1Y,550,325,225
SW2,54331,26851,27480
SW20,28275,13769,14506
SW3,22170,10818,11352
SW4,39586,19791,19795
SW5,15493,8079,7414
SW6,65149,31294,33855
SW7,19852,10528,9324
SW8,36408,18537,17871
SW9,43399,21965,21434
SY1,26536,13310,13226
SY10,14663,7234,7429
SY11,27014,13148,13866
SY12,8250,4096,4154
SY13,19549,9700,9849
SY14,5644,2760,2884
SY15,5199,2571,2628
SY16,16232,8058,8174
SY17,3553,1788,1765
SY18,4648,2339,2309
SY19,1169,601,568
SY2,17535,8563,8972
SY20,6921,3401,3520
SY21,16250,8038,8212
SY22,9534,4745,4789
SY23,30858,15619,15239
SY24,4663,2285,2378
SY25,4343,2122,2221
SY3,33785,16550,17235
SY4,24540,12182,12358
SY5,21288,10595,10693
SY6,6554,3145,3409
SY7,11884,5969,5915
SY8,18633,9095,9538
SY9,2895,1417,1478
TA1,39473,18831,20642
TA10,9270,4495,4775
TA11,9166,4401,4765
TA12,6353,3079,3274
TA13,3973,1897,2076
TA14,2986,1459,1527
TA15,831,413,418
TA16,1979,964,1015
TA17,442,207,235
TA18,10039,4845,5194
TA19,11688,5613,6075
TA2,26524,13095,13429
TA20,20332,10033,10299
TA21,18155,8774,9381
TA22,2619,1257,1362
TA23,5681,2765,2916
TA24,18650,8782,9868
TA3,14412,6994,7418
TA4,18849,9115,9734
TA5,10155,4998,5157
TA6,46320,22815,23505
TA7,14982,7327,7655
TA8,16938,8077,8861
TA9,12380,6106,6274
TD12,1163,584,579
TD15,17161,8262,8899
TF1,37144,18320,18824
TF10,18398,9187,9211
TF11,9907,4940,4967
TF12,5609,2756,2853
TF13,3696,1764,1932
TF2,38813,19163,19650
TF3,23954,11993,11961
TF4,18198,9022,9176
TF5,5346,2684,2662
TF6,4997,2501,2496
TF7,17631,8583,9048
TF8,2903,1483,1420
TF9,25465,12956,12509
TN1,11247,5796,5451
TN10,16283,7763,8520
TN11,13872,6814,7058
TN12,29475,14556,14919
TN13,24993,12146,12847
TN14,14970,7342,7628
TN15,24338,11877,12461
TN16,19293,9465,9828
TN17,14720,7022,7698
TN18,6612,3268,3344
TN19,5000,2477,2523
TN2,28428,13782,14646
TN20,3718,1798,1920
TN21,15983,7737,8246
TN22,26183,12726,13457
TN23,39896,19561,20335
TN24,31619,15292,16327
TN25,15556,7565,7991
TN26,11182,5435,5747
TN27,12404,6004,6400
TN28,8455,4151,4304
TN29,13757,6802,6955
TN3,11722,5713,6009
TN30,9307,4350,4957
TN31,13542,6581,6961
TN32,5238,2577,2661
TN33,12745,6142,6603
TN34,29691,14439,15252
TN35,17207,8289,8918
TN36,2303,1102,1201
TN37,20561,10191,10370
TN38,29035,14085,14950
TN39,25768,11947,13821
TN4,32239,15860,16379
TN40,17422,8061,9361
TN5,8756,4225,4531
TN6,24430,11991,12439
TN7,2151,1081,1070
TN8,12680,6113,6567
TN9,18035,9106,8929
TQ1,31701,15437,16264
TQ10,4029,1903,2126
TQ11,4133,2011,2122
TQ12,52994,26002,26992
TQ13,23134,11180,11954
TQ14,19461,9242,10219
TQ2,33544,16287,17257
TQ3,30368,14582,15786
TQ4,18647,8839,9808
TQ5,19304,9246,10058
TQ6,8267,4131,4136
TQ7,16492,7859,8633
TQ8,2071,993,1078
TQ9,17259,8163,9096
TR1,20534,9734,10800
TR10,11258,5527,5731
TR11,28826,13767,15059
TR12,9584,5053,4531
TR13,19823,9612,10211
TR14,24632,11931,12701
TR15,20094,9822,10272
TR16,14160,6900,7260
TR17,1447,670,777
TR18,19872,9399,10473
TR19,9033,4423,4610
TR2,9465,4506,4959
TR20,9293,4447,4846
TR21,1723,858,865
TR22,169,85,84
TR24,175,93,82
TR25,136,66,70
TR26,11642,5487,6155
TR27,14766,7160,7606
TR3,12399,5963,6436
TR4,11047,5359,5688
TR5,3884,1834,2050
TR6,3516,1701,1815
TR7,20189,9892,10297
TR8,7973,3909,4064
TR9,8224,4026,4198
TS1,17202,9390,7812
TS10,37073,18015,19058
TS11,11945,5793,6152
TS12,22514,11033,11481
TS13,10369,5168,5201
TS14,17627,8542,9085
TS15,12802,6460,6342
TS16,10449,5055,5394
TS17,45119,22149,22970
TS18,24877,12852,12025
TS19,37115,17779,19336
TS2,773,380,393
TS20,20737,10193,10544
TS21,12670,6219,6451
TS22,8506,4163,4343
TS23,30225,14577,15648
TS24,21840,10773,11067
TS25,38827,18631,20196
TS26,25450,12490,12960
TS27,12327,5973,6354
TS28,5277,2545,2732
TS29,6266,3061,3205
TS3,29653,13888,15765
TS4,17229,8409,8820
TS5,39717,19351,20366
TS6,30350,14595,15755
TS7,21787,10551,11236
TS8,21011,10077,10934
TS9,12737,6151,6586
TW1,25392,12557,12835
TW10,19152,9283,9869
TW11,23410,11301,12109
TW12,23010,11031,11979
TW13,36258,18018,18240
TW14,28023,13836,14187
TW15,27462,13483,13979
TW16,20143,9915,10228
TW17,14242,6980,7262
TW18,26173,12897,13276
TW19,16019,7986,8033
TW2,30645,15045,15600
TW20,24845,11856,12989
TW3,40168,20854,19314
TW4,27229,13879,13350
TW5,29463,14978,14485
TW7,37540,18571,18969
TW8,19667,9635,10032
TW9,21631,10601,11030
UB1,40374,20795,19579
UB10,33494,16429,17065
UB2,32239,16614,15625
UB3,48133,24233,23900
UB4,39616,19784,19832
UB5,45955,22458,23497
UB6,51364,26008,25356
UB7,29652,14836,14816
UB8,36604,18683,17921
UB9,14538,7053,7485
W10,34202,16336,17866
W11,31499,15169,16330
W12,48949,23891,25058
W13,32411,16030,16381
W14,37480,18391,19089
W1B,508,260,248
W1D,1544,1004,540
W1F,1510,906,604
W1G,2931,1555,1376
W1H,6289,3371,2918
W1J,1528,887,641
W1K,3015,1655,1360
W1S,151,97,54
W1T,4060,2338,1722
W1U,5651,3016,2635
W1W,4434,2289,2145
W2,48372,25112,23260
W3,52419,26202,26217
W4,44018,21672,22346
W5,49943,24755,25188
W6,35728,17587,18141
W7,28959,13995,14964
W8,20536,10070,10466
W9,37569,18384,19185
WA1,21533,10772,10761
WA10,38648,19149,19499
WA11,40516,19765,20751
WA12,22033,10846,11187
WA13,12830,6280,6550
WA14,27690,13605,14085
WA15,42664,20775,21889
WA16,23544,11379,12165
WA2,40792,20027,20765
WA3,47757,24007,23750
WA4,46673,23149,23524
WA5,58500,28828,29672
WA6,18925,9154,9771
WA7,63271,30948,32323
WA8,61934,30171,31763
WA9,48870,23952,24918
WC1A,545,290,255
WC1B,1667,823,844
WC1E,2282,1205,1077
WC1H,8328,4056,4272
WC1N,7295,3758,3537
WC1R,630,333,297
WC1V,960,506,454
WC1X,7953,3943,4010
WC2B,1907,1092,815
WC2E,905,501,404
WC2H,2491,1350,1141
WC2N,1032,572,460
WD17,15787,7922,7865
WD18,24334,12252,12082
WD19,27375,13212,14163
WD23,25640,12329,13311
WD24,21615,10868,10747
WD25,27808,13466,14342
WD3,40666,19618,21048
WD4,11252,5522,5730
WD5,11497,5641,5856
WD6,37545,18310,19235
WD7,12469,6091,6378
WF1,33897,17091,16806
WF10,45457,22291,23166
WF11,16984,8331,8653
WF12,33976,16808,17168
WF13,27462,13782,13680
WF14,19563,9458,10105
WF15,17697,8674,9023
WF16,12623,6216,6407
WF17,43719,21764,21955
WF2,51023,25144,25879
WF3,32594,15902,16692
WF4,43308,20943,22365
WF5,21231,10369,10862
WF6,21317,10478,10839
WF7,20185,9763,10422
WF8,32376,15802,16574
WF9,39245,19332,19913
WN1,20039,10110,9929
WN2,52772,26292,26480
WN3,29926,14913,15013
WN4,28762,14313,14449
WN5,43781,21684,22097
WN6,39852,19673,20179
WN7,47382,23433,23949
WN8,45969,22373,23596
WR1,8955,4608,4347
WR10,17726,8649,9077
WR11,41614,20648,20966
WR12,5436,2568,2868
WR13,8195,3973,4222
WR14,34207,16533,17674
WR15,7098,3503,3595
WR2,29899,14610,15289
WR3,20472,10058,10414
WR4,26036,12775,13261
WR5,31154,15208,15946
WR6,12091,6041,6050
WR7,4984,2466,2518
WR8,8519,4108,4411
WR9,31028,15069,15959
WS1,27271,13752,13519
WS10,46711,22891,23820
WS11,42593,20853,21740
WS12,35408,17711,17697
WS13,26628,13027,13601
WS14,17105,8748,8357
WS15,36552,17970,18582
WS2,38754,18991,19763
WS3,50097,24517,25580
WS4,16805,8238,8567
WS5,21467,10380,11087
WS6,18183,8931,9252
WS7,29867,14851,15016
WS8,15586,7691,7895
WS9,26660,12999,13661
WV1,16539,8671,7868
WV10,56394,27775,28619
WV11,34571,17074,17497
WV12,25649,12600,13049
WV13,20638,10115,10523
WV14,47169,23149,24020
WV15,7939,3941,3998
WV16,17290,8489,8801
WV2,14720,7418,7302
WV3,28971,14432,14539
WV4,35122,17234,17888
WV5,15883,7783,8100
WV6,44995,22315,22680
WV7,7166,3792,3374
WV8,15580,7440,8140
WV9,7231,3570,3661
YO1,4514,2292,2222
YO10,30493,15068,15425
YO11,22899,11198,11701
YO12,40844,19674,21170
YO13,10111,4825,5286
YO14,11256,5350,5906
YO15,13739,6777,6962
YO16,25475,12134,13341
YO17,21214,10459,10755
YO18,10760,5096,5664
YO19,12914,6157,6757
YO21,14132,6841,7291
YO22,8728,4279,4449
YO23,19324,9361,9963
YO24,29656,14352,15304
YO25,33310,16230,17080
YO26,30202,14771,15431
YO30,26611,13132,13479
YO31,30239,14729,15510
YO32,28270,13359,14911
YO41,10837,5572,5265
YO42,14559,7114,7445
YO43,12288,5995,6293
YO51,5533,2688,2845
YO60,4741,2328,2413
YO61,14004,6751,7253
YO62,12060,6061,5999
YO7,19997,10017,9980
YO8,43729,21532,22197
CF10,14616,7990,6626
CF11,36058,18603,17455
CF14,77856,37320,40536
CF15,17823,8669,9154
CF23,47027,22558,24469
CF24,55860,28777,27083
CF3,42223,19958,22265
CF31,44883,21961,22922
CF32,29905,14689,15216
CF33,14464,7077,7387
CF34,20612,10125,10487
CF35,16152,8727,7425
CF36,16005,7630,8375
CF37,38323,18971,19352
CF38,23277,11364,11913
CF39,28926,14132,14794
CF40,20588,10125,10463
CF41,10755,5242,5513
CF42,13421,6553,6868
CF43,11884,5819,6065
CF44,39211,19064,20147
CF45,19553,9465,10088
CF46,14280,7009,7271
CF47,21886,10708,11178
CF48,27283,13337,13946
CF5,66024,31559,34465
CF61,9983,4800,5183
CF62,41446,20350,21096
CF63,21924,10695,11229
CF64,36574,17636,18938
CF71,9049,4457,4592
CF72,25557,12454,13103
CF81,16431,8115,8316
CF82,20233,9897,10336
CF83,55242,27035,28207
LD1,11341,5607,5734
LD2,5688,2796,2892
LD3,19241,9385,9856
LD4,769,377,392
LD5,1106,572,534
LD6,2681,1297,1384
LD7,4812,2404,2408
LD8,4154,2046,2108
LL11,38337,19063,19274
LL12,28326,13823,14503
LL13,34865,17637,17228
LL14,33424,16502,16922
LL15,10832,5340,5492
LL16,15848,7940,7908
LL17,5276,2567,2709
LL18,40552,19813,20739
LL19,19924,9558,10366
LL20,8317,4163,4154
LL21,6066,3064,3002
LL22,17700,8499,9201
LL23,4362,2174,2188
LL24,1939,1002,937
LL25,474,240,234
LL26,4577,2219,2358
LL27,783,392,391
LL28,14157,6618,7539
LL29,20327,10056,10271
LL30,21886,10380,11506
LL31,9473,4640,4833
LL32,6518,3166,3352
LL33,3877,1920,1957
LL34,4353,2097,2256
LL35,878,447,431
LL36,4675,2218,2457
LL37,526,268,258
LL38,721,357,364
LL39,310,170,140
LL40,4132,2041,2091
LL41,6479,3192,3287
LL42,2522,1237,1285
LL43,467,219,248
LL44,1073,523,550
LL45,645,316,329
LL46,1900,938,962
LL47,550,278,272
LL48,2587,1277,1310
LL49,4651,2283,2368
LL51,630,329,301
LL52,2652,1253,1399
LL53,17223,8521,8702
LL54,11242,5513,5729
LL55,21693,10601,11092
LL56,2284,1145,1139
LL57,27683,13622,14061
LL58,3858,1859,1999
LL59,5630,2733,2897
LL60,3149,1573,1576
LL61,6051,2917,3134
LL62,1704,823,881
LL63,1370,682,688
LL64,1008,489,519
LL65,23674,11783,11891
LL67,1357,672,685
LL68,6385,3166,3219
LL69,595,303,292
LL70,354,172,182
LL71,1726,881,845
LL72,710,334,376
LL73,254,127,127
LL74,2236,1062,1174
LL75,1491,713,778
LL76,324,173,151
LL77,7366,3558,3808
LL78,509,254,255
NP10,23201,11346,11855
NP11,37796,18613,19183
NP12,33524,16434,17090
NP13,19827,9848,9979
NP15,7866,4088,3778
NP16,23955,11765,12190
NP18,17277,8430,8847
NP19,51623,25373,26250
NP20,50789,24880,25909
NP22,22024,10674,11350
NP23,33505,16458,17047
NP24,4966,2469,2497
NP25,15164,7398,7766
NP26,22521,11164,11357
NP4,45537,22307,23230
NP44,47175,22873,24302
NP7,26071,12592,13479
NP8,5547,2719,2828
SA1,47081,24501,22580
SA10,29827,14545,15282
SA11,36588,17945,18643
SA12,32658,15825,16833
SA13,19663,9750,9913
SA14,33963,16563,17400
SA15,36736,17970,18766
SA16,8547,4164,4383
SA17,9407,4595,4812
SA18,29687,14578,15109
SA19,9394,4646,4748
SA2,38386,19070,19316
SA20,3574,1765,1809
SA3,26235,12576,13659
SA31,16923,7997,8926
SA32,7758,3835,3923
SA33,12346,6110,6236
SA34,5398,2685,2713
SA35,715,364,351
SA36,395,210,185
SA37,1287,649,638
SA38,4761,2310,2451
SA39,2321,1168,1153
SA4,44356,21613,22743
SA40,3580,1748,1832
SA41,1882,971,911
SA42,2306,1100,1206
SA43,12535,6100,6435
SA44,11490,5634,5856
SA45,1730,861,869
SA46,2732,1305,1427
SA47,1250,648,602
SA48,8951,4496,4455
SA5,36460,17628,18832
SA6,34182,16705,17477
SA61,14262,6832,7430
SA62,21332,10564,10768
SA63,1112,556,556
SA64,2462,1229,1233
SA65,4379,2095,2284
SA66,3021,1469,1552
SA67,6930,3339,3591
SA68,4305,2114,2191
SA69,3534,1755,1779
SA7,15118,7370,7748
SA70,9731,4689,5042
SA71,10272,5003,5269
SA72,10581,5250,5331
SA73,20354,9910,10444
SA8,12556,6160,6396
SA9,15179,7422,7757